Jour,Gare (départ),Gare (arrivée),Arrivée (réelle),Arrivée (prévue),Départ (prévu),Retard (min),Cause
09-03-2023,Colmar,Metzeral,08:35:00,08:25:00,07:47:00,10,Réutilisation d'un train
10-03-2023,Tours,Le Mans,09:21:00,08:56:00,07:52:00,25,Réutilisation d'un train
10-03-2023,Luxembourg (CFL),Metz Ville,06:19:30,06:14:30,05:16:00,5,Incident sur un réseau ferré étranger
09-03-2023,Orléans,Tours,22:08:00,22:03:00,20:41:00,5,Prise en charge de clients en correspondance
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lausanne,21:47:00,21:37:00,17:47:00,10,Assistance à un voyageur malade à bord
09-03-2023,Mâcon,Bourg-en-Bresse - Gare Routière,16:11:10,16:06:10,15:04:00,5,Embouteillage
09-03-2023,Metz Ville,Saarbrücken - Hauptbahnhof,09:45:00,09:40:00,08:38:00,5,Réutilisation d'un train
09-03-2023,Nantes,Ancenis,08:22:00,08:17:00,07:48:00,5,Régulation du trafic
09-03-2023,Frankfurt am Main - Hauptbahnhof,Paris Est,09:58:00,09:53:00,05:47:00,5,Retard non expliqué
10-03-2023,Grenoble - gare Routière,Chambéry - Challes-les-Eaux,11:59:00,11:49:00,09:50:00,10,Prise en charge de clients en correspondance
09-03-2023,Paris Nord,Boulogne-Ville,09:25:30,09:15:30,06:52:00,10,Travaux sur les voies
09-03-2023,Lille Flandres,Tournai,13:57:00,12:37:00,12:08:00,80,Conditions de départ non réunies
10-03-2023,Laroche - Migennes,Paris - Gare de Lyon - Hall 1 & 2,07:53:00,07:48:00,05:51:00,5,Régulation du trafic
09-03-2023,Arcachon,Bordeaux Saint-Jean,10:40:00,10:25:00,09:35:00,15,Réutilisation d'un train
09-03-2023,Bâle - SBB,Mulhouse-Ville,00:38:00,00:33:00,23:38:00,5,Embouteillage
09-03-2023,Toulon,Marseille - Saint-Charles,17:05:00,15:55:00,14:50:00,70,Régulation du trafic
10-03-2023,Laroche - Migennes,Paris - Gare de Lyon - Hall 1 & 2,07:53:00,07:48:00,05:51:00,5,Régulation du trafic
09-03-2023,Lille Flandres,Tournai,13:57:00,12:37:00,12:08:00,80,Conditions de départ non réunies
10-03-2023,Nantes,Le Mans,08:00:00,07:55:00,06:09:00,5,Difficultés lors de la préparation du train
