Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Strasbourg,Molsheim ,TER,830856,08-03-2023,19:18:00,19:18:00,0,,"['Strasbourg - Roethig', 'Lingolsheim', 'Entzheim Aéroport', 'Duppigheim', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Dachstein', 'Molsheim']"
Strasbourg,Nancy ,TER,835028,08-03-2023,19:19:00,19:19:00,0,,"['Brumath', 'Saverne', 'Sarrebourg', 'Lunéville', 'Nancy']"
Strasbourg,Bâle - SBB ,TER,96247,08-03-2023,19:21:00,19:21:00,0,,"['Sélestat', 'Colmar', 'Mulhouse-Ville', 'Saint-Louis', 'Bâle - SBB']"
Saverne,Sélestat ,TER,832033,08-03-2023,19:37:00,19:37:00,0,,"['Graffenstaden', 'Geispolsheim', 'Fegersheim - Lipsheim', 'Limersheim', 'Erstein', 'Matzenheim', 'Benfeld', 'Kogenheim', 'Ebersheim', 'Sélestat']"
Paris Est,Stuttgart Hbf ,DB SNCF,9579,08-03-2023,19:46:00,19:46:00,0,,"['Karlsruhe Hauptbahnhof', 'Stuttgart Hbf']"
Strasbourg,Sarrebourg ,TER,830110,08-03-2023,19:49:00,19:49:00,0,,"['Brumath', 'Saverne', 'Lutzelbourg', 'Réding', 'Sarrebourg']"
Strasbourg,Bâle - SBB ,TER,96239,08-03-2023,19:51:00,19:51:00,0,,"['Sélestat', 'Colmar', 'Mulhouse-Ville', 'Saint-Louis', 'Bâle - SBB']"
Strasbourg,Paris Est ,OUIGO,7694,08-03-2023,20:01:00,20:01:00,0,,['Paris Est']
Strasbourg,Offenburg ,TER,87457,08-03-2023,20:20:00,20:20:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Herrlisheim ,TER,30344,08-03-2023,21:00:00,21:00:00,0,,"['Bischheim Arrêt CTS R. Gare', 'Hoenheim - Tram', 'La Wantzenau', 'Kilstett Rue de la Gare', 'Gambsheim Garage Peugeot', 'Gambsheim', 'Herrlisheim']"
Strasbourg,Rothau ,TER,30376,08-03-2023,21:00:00,21:00:00,0,,"['Molsheim', 'Mutzig Passage à Niveau', 'Mutzig Porte Centre', 'Gresswiller Abri', 'Heiligenberg - Mollkirch', 'Urmatt', 'Lutzelhouse Abri Église', 'Wisches Église', 'Russ Hersbach', 'Schirmeck - La Broque', 'Rothau']"
Strasbourg,Diemeringen ,TER,30192,08-03-2023,21:40:00,21:40:00,0,,"['Pfaffenhoffen Mairie', 'Obermodern', 'Menchhoffen Abri', 'Ingwiller', 'Wimmenau D.919 - Rue de la Gare', 'Wingen-sur-Moder', 'Col de Puberg', 'Frohmuhl Lavoir', 'Tieffenbach - Struth', 'Adamswiller Lotissement la Forêt', 'Adamswiller Mairie', 'Diemeringen']"
Strasbourg,Molsheim ,TER,400866,08-03-2023,21:48:00,21:48:00,0,,"['Strasbourg - Roethig', 'Lingolsheim', 'Entzheim Aéroport', 'Duppigheim', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Dachstein', 'Molsheim']"
Strasbourg,Offenburg ,TER,87459,08-03-2023,21:50:00,21:50:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Rothau ,TER,30378,08-03-2023,22:35:00,22:35:00,0,,"['Molsheim', 'Mutzig Passage à Niveau', 'Mutzig Porte Centre', 'Gresswiller Abri', 'Heiligenberg - Mollkirch', 'Urmatt', 'Lutzelhouse Abri Église', 'Wisches Église', 'Russ Hersbach', 'Schirmeck - La Broque', 'Rothau']"
Strasbourg,Herrlisheim ,TER,30346,08-03-2023,22:35:00,22:35:00,0,,"['Bischheim Arrêt CTS R. Gare', 'Hoenheim - Tram', 'La Wantzenau', 'Kilstett Rue de la Gare', 'Gambsheim Garage Peugeot', 'Gambsheim', 'Herrlisheim']"
Strasbourg,Barr ,TER,30360,08-03-2023,22:35:00,22:35:00,0,,"['Entzheim Aéroport', 'Molsheim', 'Rosheim', 'Obernai Passage à Niveau Avenue Gail', 'Barr']"
Strasbourg,Wingen-sur-Moder ,TER,30194,08-03-2023,22:40:00,22:40:00,0,,"['Pfaffenhoffen Mairie', 'Obermodern', 'Menchhoffen Abri', 'Ingwiller', 'Wimmenau D.919 - Rue de la Gare', 'Wingen-sur-Moder']"
Strasbourg,Offenburg ,TER,87461,08-03-2023,22:50:00,22:50:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Haguenau ,TER,30056,08-03-2023,23:25:00,23:25:00,0,,"['Hoerdt Maison de Retraite', 'Hoerdt Mairie', 'Weyersheim Boulangerie Rue République', 'Kurtzenhouse Mairie', 'Kurtzenhouse CMDP', 'Bischwiller Église Catholique', 'Bischwiller', 'Bischwiller Vestra', 'Kaltenhouse Rue de Bischwiller', 'Haguenau']"
Strasbourg,Saverne ,TER,30228,08-03-2023,23:25:00,23:25:00,0,,"['Stephansfeld Hôpital', 'Brumath Mairie', 'Mommenheim', 'Schwindratzheim Général Leclerc', 'Hochfelden', 'Wilwisheim Haute-Montée', 'Dettwiller', 'Saverne']"
Strasbourg,Molsheim ,TER,30362,08-03-2023,23:25:00,23:25:00,0,,"['Entzheim Aéroport', 'Molsheim']"
Strasbourg,Kehl ,TER,400463,08-03-2023,23:41:00,23:41:00,0,,['Kehl']
Strasbourg,Sélestat ,TER,30149,09-03-2023,05:36:00,05:36:00,0,,"['Fegersheim - Lipsheim', 'Erstein', 'Benfeld', 'Sélestat']"
Strasbourg,Sélestat ,TER,831706,09-03-2023,06:30:00,06:30:00,0,,"['Entzheim Aéroport', 'Molsheim', 'Dorlisheim', 'Rosheim', 'Bischoffsheim', 'Obernai', 'Goxwiller', 'Gertwiller', 'Barr', 'Eichhoffen', 'Epfig', 'Dambach-la-Ville', 'Scherwiller', 'Sélestat']"
Strasbourg,Sarreguemines ,TER,830914,09-03-2023,06:34:00,06:34:00,0,,"['Mommenheim', 'Obermodern', 'Ingwiller', 'Wingen-sur-Moder', 'Tieffenbach - Struth', 'Diemeringen', 'Oermingen', 'Kalhausen', 'Sarreguemines']"
Strasbourg,Paris Est ,TGV INOUI,2404,09-03-2023,06:40:00,06:40:00,0,,"['Meuse TGV', 'Paris Est']"
Strasbourg,Bâle - SBB ,TER,96205,09-03-2023,06:51:00,06:51:00,0,,"['Sélestat', 'Colmar', 'Mulhouse-Ville', 'Saint-Louis', 'Bâle - SBB']"
Strasbourg,Molsheim ,TER,830808,09-03-2023,07:18:00,07:18:00,0,,"['Strasbourg - Roethig', 'Lingolsheim', 'Entzheim Aéroport', 'Duppigheim', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Dachstein', 'Molsheim']"
Colmar,Paris Est ,TGV INOUI,2350,09-03-2023,07:19:00,07:19:00,0,,"['Lorraine TGV', 'Paris Est']"
Strasbourg,Offenburg ,TER,87407,09-03-2023,07:20:00,07:20:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Sélestat,Saverne ,TER,832008,09-03-2023,07:24:00,07:24:00,0,,"['Vendenheim', 'Stephansfeld', 'Brumath', 'Mommenheim', 'Schwindratzheim', 'Hochfelden', 'Wilwisheim', 'Dettwiller', 'Steinbourg', 'Saverne']"
Strasbourg,Nantes ,TGV INOUI,5486,09-03-2023,07:31:00,07:31:00,0,,"['Lorraine TGV', 'Champagne-Ardenne TGV', 'Aéroport Charles de Gaulle 2 TGV', 'Marne-la-Vallée - Chessy', 'Massy TGV', 'Le Mans', 'Angers-Saint-Laud', 'Nantes']"
Strasbourg,Offenburg ,TER,87411,09-03-2023,07:50:00,07:50:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Bâle - SBB ,TER,96209,09-03-2023,07:51:00,07:51:00,0,,"['Sélestat', 'Colmar', 'Mulhouse-Ville', 'Saint-Louis', 'Bâle - SBB']"
Strasbourg,Molsheim ,TER,830812,09-03-2023,08:18:00,08:18:00,0,,"['Strasbourg - Roethig', 'Lingolsheim', 'Entzheim Aéroport', 'Duppigheim', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Dachstein', 'Molsheim']"
Stuttgart Hbf,Paris Est ,DB SNCF,9578,09-03-2023,08:19:00,08:19:00,0,,['Paris Est']
Strasbourg,Offenburg ,TER,87413,09-03-2023,08:20:00,08:20:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Sarreguemines,Krimmeri Meinau ,TER,830921,09-03-2023,08:27:00,08:27:00,0,,['Krimmeri Meinau']
Strasbourg,Haguenau ,TER,830570,09-03-2023,08:27:00,08:27:00,0,,"['Bischwiller', 'Haguenau']"
Strasbourg,Offenburg ,TER,87415,09-03-2023,08:50:00,08:50:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Paris Est,Mannheim - Hauptbahnhof ,DB SNCF,9561,09-03-2023,09:12:00,09:12:00,0,,"['Karlsruhe Hauptbahnhof', 'Mannheim - Hauptbahnhof']"
Strasbourg,Offenburg ,TER,87417,09-03-2023,09:20:00,09:20:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Offenburg ,TER,87419,09-03-2023,09:50:00,09:50:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Bâle - SBB ,TER,96217,09-03-2023,10:51:00,10:51:00,0,,"['Sélestat', 'Colmar', 'Mulhouse-Ville', 'Saint-Louis', 'Bâle - SBB']"
Strasbourg,Offenburg ,TER,87423,09-03-2023,10:51:00,10:51:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Haguenau ,TER,830524,09-03-2023,12:10:00,12:10:00,0,,"['Mundolsheim', 'Vendenheim', 'Hœrdt', 'Weyersheim', 'Kurtzenhouse', 'Bischwiller', 'Marienthal', 'Haguenau']"
Strasbourg,Molsheim ,TER,830828,09-03-2023,12:18:00,12:18:00,0,,"['Strasbourg - Roethig', 'Lingolsheim', 'Entzheim Aéroport', 'Duppigheim', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Dachstein', 'Molsheim']"
Strasbourg,Lauterbourg ,TER,30342,09-03-2023,12:23:00,12:23:00,0,,"['Bischheim Arrêt CTS R. Gare', 'Hoenheim - Tram', 'La Wantzenau', 'Kilstett Rue de la Gare', 'Gambsheim Garage Peugeot', 'Gambsheim', 'Herrlisheim', 'Drusenheim', 'Sessenheim', 'Rountzenheim', 'Rœschwoog', 'Seltz', 'Lauterbourg']"
Paris Est,Stuttgart Hbf ,DB SNCF,9573,09-03-2023,12:46:00,12:46:00,0,,"['Karlsruhe Hauptbahnhof', 'Stuttgart Hbf']"
Strasbourg,Paris Est ,OUIGO,7692,09-03-2023,12:50:00,12:50:00,0,,"['Metz Ville', 'Paris Est']"
Strasbourg,Offenburg ,TER,87429,09-03-2023,12:50:00,12:50:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Bâle - SBB ,TER,96277,09-03-2023,12:51:00,12:51:00,0,,"['Sélestat', 'Colmar', 'Mulhouse-Ville', 'Saint-Louis', 'Bâle - SBB']"
Sélestat,Saverne ,TER,832018,09-03-2023,12:54:00,12:54:00,0,,"['Vendenheim', 'Stephansfeld', 'Brumath', 'Mommenheim', 'Schwindratzheim', 'Hochfelden', 'Wilwisheim', 'Dettwiller', 'Steinbourg', 'Saverne']"
Strasbourg,Haguenau ,TER,830528,09-03-2023,13:14:00,13:14:00,0,,"['Mundolsheim', 'Vendenheim', 'Hœrdt', 'Weyersheim', 'Kurtzenhouse', 'Bischwiller', 'Marienthal', 'Haguenau']"
Strasbourg,Molsheim ,TER,830832,09-03-2023,13:18:00,13:18:00,0,,"['Strasbourg - Roethig', 'Lingolsheim', 'Entzheim Aéroport', 'Duppigheim', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Dachstein', 'Molsheim']"
Strasbourg,Offenburg ,TER,87431,09-03-2023,13:20:00,13:20:00,0,,"['Krimmeri Meinau', 'Kehl', 'Kork', 'Legelshurst', 'Appenweier', 'Offenburg']"
Strasbourg,Bâle - SBB ,TER,96221,09-03-2023,13:51:00,13:51:00,0,,"['Sélestat', 'Colmar', 'Mulhouse-Ville', 'Saint-Louis', 'Bâle - SBB']"
Marseille - Saint-Charles,Hyères ,TER,881639,08-03-2023,14:19:00,14:19:00,0,,"['Marseille Blancarde', 'La Pomme', 'Saint-Marcel', 'La Barasse', 'La Penne-sur-Huveaune', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon', 'Toulon Sainte-Musse', 'La Garde', 'La Pauline', 'La Crau', 'Hyères']"
Marseille - Saint-Charles,Avignon Centre ,TER,879522,08-03-2023,14:41:00,14:41:00,0,,"['L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Pas des Lanciers', 'Vitrolles - Aéroport Marseille Provence', 'Rognac', 'Saint-Chamas', 'Miramas', 'Saint-Martin-de-Crau', 'Arles', 'Avignon Centre']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6122,08-03-2023,15:02:00,15:02:00,0,,"['Aix-en-Provence TGV', 'Avignon TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Marseille - Saint-Charles,Hyères ,TER,881641,08-03-2023,15:03:00,15:03:00,0,,"['Marseille Blancarde', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon', 'Toulon Sainte-Musse', 'La Garde', 'La Pauline', 'La Crau', 'Hyères']"
Marseille - Saint-Charles,Avignon Centre ,TER,879528,08-03-2023,15:41:00,15:41:00,0,,"['L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Pas des Lanciers', 'Vitrolles - Aéroport Marseille Provence', 'Rognac', 'Saint-Chamas', 'Miramas', 'Saint-Martin-de-Crau', 'Arles', 'Avignon Centre']"
Marseille - Saint-Charles,Aix-en-Provence ,TER,880160,08-03-2023,16:23:00,16:23:00,0,,"['Picon - Busserine', 'Sainte-Marthe en Provence', 'Saint-Joseph - Le Castellas', 'Saint-Antoine', 'Septèmes', 'Simiane', 'Gardanne', 'Aix-en-Provence']"
Marseille - Saint-Charles,Nice ,TER,17491,08-03-2023,16:57:00,16:57:00,0,,"['Toulon', 'Les Arcs - Draguignan', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice Saint-Augustin', 'Nice']"
Marseille - Saint-Charles,Hyères ,TER,881649,08-03-2023,17:03:00,17:03:00,0,,"['Marseille Blancarde', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon', 'Toulon Sainte-Musse', 'La Garde', 'La Pauline', 'La Crau', 'Hyères']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6128,08-03-2023,17:03:00,17:03:00,0,,"['Aix-en-Provence TGV', 'Avignon TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Marseille - Saint-Charles,Les Arcs - Draguignan ,TER,881693,08-03-2023,17:08:00,17:08:00,0,,"['Marseille Blancarde', 'Aubagne', 'La Ciotat-Ceyreste', 'Ollioules - Sanary-sur-Mer', 'Toulon', 'Toulon Sainte-Musse', 'La Garde', 'La Pauline', 'Solliès-Pont', 'Cuers - Pierrefeu', 'Puget-Ville', 'Carnoules', 'Pignans', 'Gonfaron', 'Le Luc - Le Cannet', 'Vidauban', 'Les Arcs - Draguignan']"
Marseille - Saint-Charles,Aix-en-Provence ,TER,880168,08-03-2023,17:23:00,17:23:00,0,,"['Picon - Busserine', 'Sainte-Marthe en Provence', 'Saint-Joseph - Le Castellas', 'Saint-Antoine', 'Septèmes', 'Simiane', 'Gardanne', 'Aix-en-Provence']"
Paris - Gare de Lyon - Hall 1 & 2,Nice ,TGV INOUI,6077,08-03-2023,17:28:00,17:28:00,0,,"['Toulon', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7824,08-03-2023,17:36:00,17:36:00,0,,"['Aix-en-Provence TGV', 'Avignon TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Marseille - Saint-Charles,Avignon Centre ,TER,879546,08-03-2023,17:55:00,17:55:00,0,,"['Vitrolles - Aéroport Marseille Provence', 'Miramas', 'Saint-Martin-de-Crau', 'Arles', 'Avignon Centre']"
Marseille - Saint-Charles,Hyères ,TER,881653,08-03-2023,18:02:00,18:02:00,0,,"['Marseille Blancarde', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon', 'Toulon Sainte-Musse', 'La Garde', 'La Pauline', 'La Crau', 'Hyères']"
Marseille - Saint-Charles,Pertuis ,TER,880686,08-03-2023,18:23:00,18:23:00,0,,"['Picon - Busserine', 'Sainte-Marthe en Provence', 'Saint-Joseph - Le Castellas', 'Saint-Antoine', 'Septèmes', 'Simiane', 'Gardanne', 'Aix-en-Provence', 'Meyrargues', 'Pertuis']"
Marseille - Saint-Charles,Hyères ,TER,881655,08-03-2023,18:33:00,18:33:00,0,,"['Marseille Blancarde', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon', 'Toulon Sainte-Musse', 'La Garde', 'La Pauline', 'La Crau', 'Hyères']"
Nice,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6168,08-03-2023,18:48:00,18:48:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Marseille - Saint-Charles,Miramas ,TER,453002,08-03-2023,19:15:00,19:15:00,0,,"['Carry-le-Rouet', 'Sausset-les-Pins', 'La Couronne Carro', 'Martigues', 'Port-de-Bouc', 'Istres', 'Miramas']"
Avignon Centre,Marseille - Saint-Charles ,TER,879649,08-03-2023,19:52:00,19:52:00,0,,[]
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6136,09-03-2023,06:04:00,06:04:00,0,,"['Aix-en-Provence TGV', 'Avignon TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Marseille - Saint-Charles,Aix-en-Provence ,TER,880106,09-03-2023,06:23:00,06:23:00,0,,"['Picon - Busserine', 'Sainte-Marthe en Provence', 'Saint-Joseph - Le Castellas', 'Saint-Antoine', 'Septèmes', 'Simiane', 'Gardanne', 'Aix-en-Provence']"
Marseille - Saint-Charles,Miramas ,TER,879614,09-03-2023,07:08:00,07:08:00,0,,"['L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Pas des Lanciers', 'Vitrolles - Aéroport Marseille Provence', 'Rognac', 'Saint-Chamas', 'Miramas']"
Marseille - Saint-Charles,Aix-en-Provence ,TER,880112,09-03-2023,07:23:00,07:23:00,0,,"['Picon - Busserine', 'Sainte-Marthe en Provence', 'Saint-Joseph - Le Castellas', 'Saint-Antoine', 'Septèmes', 'Simiane', 'Gardanne', 'Aix-en-Provence']"
Marseille - Saint-Charles,Hyères ,TER,881611,09-03-2023,07:32:00,07:32:00,0,,"['Marseille Blancarde', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon', 'Toulon Sainte-Musse', 'La Garde', 'La Pauline', 'La Crau', 'Hyères']"
Marseille - Saint-Charles,Le Havre ,TGV INOUI,5376,09-03-2023,07:35:00,07:35:00,0,,"['Avignon TGV', 'Valence TGV Rhône-Alpes Sud', 'Lyon Part Dieu', 'Massy - Palaiseau', 'Versailles Chantiers', 'Mantes-la-Jolie', 'Rouen Rive Droite', 'Le Havre']"
Marseille - Saint-Charles,Briançon ,TER,17402,09-03-2023,07:41:00,07:41:00,0,,"['Saint-Antoine', 'Simiane', 'Gardanne', 'Aix-en-Provence', 'Meyrargues', 'Manosque - Gréoux-les-Bains', 'La Brillanne - Oraison', 'Château-Arnoux-Saint-Auban', 'Sisteron', 'Laragne', 'Serres', 'Veynes - Dévoluy', 'Gap', 'Chorges', 'Embrun', 'Mont-Dauphin - Guillestre', 'L\'Argentière -  Les Écrins"", \'links\': [], \'coord\': {\'lat\': \'44.791013\', \'lon\': \'6.556408\'}, \'label\': ""L\'Argentière -  Les Écrins (L\'Argentière-la-Bessée)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87763557:Train\'', 'Briançon']"
Marseille - Saint-Charles,Avignon Centre ,TER,879504,09-03-2023,07:41:00,07:41:00,0,,"['L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Pas des Lanciers', 'Vitrolles - Aéroport Marseille Provence', 'Rognac', 'Saint-Chamas', 'Miramas', 'Saint-Martin-de-Crau', 'Arles', 'Avignon Centre']"
Marseille - Saint-Charles,Miramas ,TER,879712,09-03-2023,07:48:00,07:48:00,0,,"['Arenc - Euroméditerranée', 'L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Niolon', 'La Redonne Ensuès', 'Carry-le-Rouet', 'Sausset-les-Pins', 'La Couronne Carro', 'Martigues', 'Croix Sainte', 'Port-de-Bouc', 'Fos-sur-Mer', 'Rassuen', 'Istres', 'Miramas']"
Marseille - Saint-Charles,Toulon ,TER,881407,09-03-2023,08:02:00,08:02:00,0,,"['Marseille Blancarde', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon']"
Marseille - Saint-Charles,Miramas ,TER,879118,09-03-2023,08:07:00,08:07:00,0,,"['L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Pas des Lanciers', 'Vitrolles - Aéroport Marseille Provence', 'Rognac', 'Saint-Chamas', 'Miramas']"
Marseille - Saint-Charles,Aix-en-Provence ,TER,880118,09-03-2023,08:23:00,08:23:00,0,,"['Picon - Busserine', 'Sainte-Marthe en Provence', 'Saint-Joseph - Le Castellas', 'Saint-Antoine', 'Septèmes', 'Simiane', 'Gardanne', 'Aix-en-Provence']"
Marseille - Saint-Charles,Hyères ,TER,881615,09-03-2023,08:32:00,08:32:00,0,,"['Marseille Blancarde', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon', 'Toulon Sainte-Musse', 'La Garde', 'La Pauline', 'La Crau', 'Hyères']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6112,09-03-2023,09:04:00,09:04:00,0,,"['Aix-en-Provence TGV', 'Avignon TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Marseille - Saint-Charles,Bordeaux Saint-Jean ,Intercités,4758,09-03-2023,09:27:00,09:27:00,0,,"['Nîmes Centre', 'Montpellier Saint-Roch', 'Béziers', 'Narbonne', 'Carcassonne', 'Toulouse Matabiau', 'Montauban Ville Bourbon', 'Marmande', 'Bordeaux Saint-Jean']"
Marseille - Saint-Charles,Nice ,TER,17479,09-03-2023,09:57:00,09:57:00,0,,"['Toulon', 'Carnoules', 'Les Arcs - Draguignan', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice Saint-Augustin', 'Nice']"
Lyon Part Dieu,Nice ,TGV INOUI,6805,09-03-2023,10:20:00,10:20:00,0,,"['Toulon', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice']"
Marseille - Saint-Charles,Toulon ,TER,881419,09-03-2023,10:33:00,10:33:00,0,,"['Marseille Blancarde', 'Aubagne', 'Cassis', 'La Ciotat-Ceyreste', 'Saint-Cyr - Les Lecques - La Cadière', 'Bandol', 'Ollioules - Sanary-sur-Mer', 'La Seyne - Six Fours', 'Toulon']"
Marseille - Saint-Charles,Avignon Centre ,TER,879516,09-03-2023,10:41:00,10:41:00,0,,"['L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Pas des Lanciers', 'Vitrolles - Aéroport Marseille Provence', 'Rognac', 'Saint-Chamas', 'Miramas', 'Saint-Martin-de-Crau', 'Arles', 'Avignon Centre']"
Marseille - Saint-Charles,Miramas ,TER,879672,09-03-2023,11:07:00,11:07:00,0,,"['L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Pas des Lanciers', 'Vitrolles - Aéroport Marseille Provence', 'Rognac', 'Saint-Chamas', 'Miramas']"
Marseille - Saint-Charles,Bordeaux Saint-Jean ,Intercités,4760,09-03-2023,11:24:00,11:24:00,0,,"['Arles', 'Nîmes Centre', 'Montpellier Saint-Roch', 'Sète', 'Narbonne', 'Carcassonne', 'Toulouse Matabiau', 'Montauban Ville Bourbon', 'Agen', 'Bordeaux Saint-Jean']"
Marseille - Saint-Charles,Valence Ville ,TER,886560,09-03-2023,11:41:00,11:41:00,0,,"['L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:LongDistanceTrain\'', 'Pas des Lanciers', 'Vitrolles - Aéroport Marseille Provence', 'Rognac', 'Saint-Chamas', 'Miramas', 'Saint-Martin-de-Crau', 'Arles', 'Avignon Centre', 'Sorgues - Châteauneuf-du-Pape', 'Bédarrides', 'Courthézon', 'Orange', 'Bollène - La Croisière', 'Pierrelatte', 'Donzère', 'Montélimar', 'Loriol', 'Livron', 'Valence Ville']"
