Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Paris - Gare de Lyon - Hall 1 & 2,Perpignan ,TGV INOUI,6271,10-03-2023,11:56:00,11:56:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Valence TGV Rhône-Alpes Sud', 'Nîmes Pont-du-Gard', 'Montpellier Sud de France', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Perpignan']"
Avignon Centre,Port-Bou ,TER,86983,10-03-2023,12:48:30,12:48:30,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Villefranche - Vernet-les-Bains,Perpignan ,TER,877658,10-03-2023,12:59:00,12:59:00,0,,"['Villefranche - Vernet-les-Bains', 'Ria', 'Prades - Molitg-les-Bains', 'Marquixanes', 'Vinça', 'Ille-sur-Têt', 'Millas', 'Saint-Féliu-d\'Avall"", \'links\': [], \'coord\': {\'lat\': \'42.677277\', \'lon\': \'2.737806\'}, \'label\': ""Saint-Féliu-d\'Avall (Saint-Féliu-d\'Avall)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87784520:Train\'', 'Le Soler', 'Perpignan']"
Port-Bou,Narbonne ,TER,86990,10-03-2023,13:03:00,13:03:00,0,,"['Port-Bou', 'Cerbère', 'Banyuls-sur-Mer', 'Port-Vendres', 'Collioure', 'Argelès-sur-Mer', 'Elne', 'Perpignan', 'Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne']"
Toulouse Matabiau,Perpignan ,TER,876255,10-03-2023,13:47:00,13:47:00,0,,"['Toulouse Matabiau', 'Montaudran', 'Labège - Innopole', 'Escalquens', 'Baziège', 'Villefranche-de-Lauragais', 'Castelnaudary', 'Bram', 'Carcassonne', 'Lézignan-Corbières', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan']"
Avignon Centre,Port-Bou ,TER,86985,10-03-2023,14:48:30,14:48:30,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Villefranche - Vernet-les-Bains,Perpignan ,TER,877660,10-03-2023,14:59:00,14:59:00,0,,"['Villefranche - Vernet-les-Bains', 'Ria', 'Prades - Molitg-les-Bains', 'Marquixanes', 'Vinça', 'Ille-sur-Têt', 'Millas', 'Saint-Féliu-d\'Avall"", \'links\': [], \'coord\': {\'lat\': \'42.677277\', \'lon\': \'2.737806\'}, \'label\': ""Saint-Féliu-d\'Avall (Saint-Féliu-d\'Avall)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87784520:Train\'', 'Le Soler', 'Perpignan']"
Port-Bou,Avignon Centre ,TER,86992,10-03-2023,15:03:00,15:03:00,0,,"['Port-Bou', 'Cerbère', 'Banyuls-sur-Mer', 'Port-Vendres', 'Collioure', 'Argelès-sur-Mer', 'Elne', 'Perpignan', 'Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Valenciennes,Paris Nord ,TGV INOUI,7130,09-03-2023,17:06:30,17:06:30,0,,"['Valenciennes', 'Douai', 'Arras', 'Paris Nord']"
Dunkerque,Paris Nord ,TGV INOUI,7330,09-03-2023,17:10:00,17:10:00,0,,"['Dunkerque', 'Hazebrouck', 'Béthune', 'Lens', 'Arras', 'Paris Nord']"
Lille Flandres,Amiens ,TER HDF,843920,09-03-2023,17:30:00,17:30:00,0,,"['Lille Flandres', 'Douai', 'Arras', 'Albert', 'Corbie', 'Amiens']"
Calais Ville,Arras ,TER HDF,846544,09-03-2023,17:45:00,17:45:00,0,,"['Calais Ville', 'Les Fontinettes', 'Pont d\'Ardres"", \'links\': [], \'coord\': {\'lat\': \'50.892121\', \'lon\': \'1.970791\'}, \'label\': ""Pont d\'Ardres (Ardres)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87281410:Train\'', 'Nortkerque', 'Audruicq', 'Ruminghem', 'Watten - Éperlecques', 'Saint-Omer', 'Renescure', 'Ebblinghem', 'Hazebrouck', 'Isbergues', 'Ham-en-Artois', 'Lillers', 'Béthune', 'Noeux', 'Bully - Grenay', 'Liévin', 'Lens', 'Avion', 'Vimy', 'Arras']"
Dunkerque,Arras ,TER HDF,846424,09-03-2023,18:06:30,18:06:30,0,,"['Dunkerque', 'Coudekerque-Branche', 'Bergues', 'Esquelbecq', 'Arnèke', 'Cassel', 'Hazebrouck', 'Isbergues', 'Lillers', 'Béthune', 'Noeux', 'Bully - Grenay', 'Lens', 'Avion', 'Arras']"
Amiens,Arras ,TER HDF,848871,09-03-2023,18:23:00,18:23:00,0,,"['Amiens', 'Corbie', 'Albert', 'Miraumont', 'Achiet', 'Courcelles-le-Comte', 'Boisleux', 'Arras']"
Lille Flandres,Amiens ,TER HDF,848908,09-03-2023,18:30:00,18:30:00,0,,"['Lille Flandres', 'Douai', 'Arras', 'Albert', 'Corbie', 'Amiens']"
Paris Nord,Valenciennes ,TGV INOUI,7181,09-03-2023,18:40:00,18:40:00,0,,"['Paris Nord', 'Arras', 'Douai', 'Valenciennes']"
Étaples - Le Touquet,Arras ,TER HDF,842312,09-03-2023,19:26:00,19:26:00,0,,"['Étaples - Le Touquet', 'Montreuil sur Mer', 'Brimeux', 'Beaurainville', 'Maresquel', 'Aubin-Saint-Vaast', 'Hesdin', 'Auchy-lès-Hesdin', 'Blangy-sur-Ternoise', 'Anvin', 'Saint-Pol-sur-Ternoise', 'Tincques', 'Savy-Berlette', 'Aubigny-en-Artois', 'Frévin-Capelle', 'Marœuil', 'Arras']"
Amiens,Lille Flandres ,TER HDF,843923,09-03-2023,19:27:00,19:27:00,0,,"['Amiens', 'Albert', 'Arras', 'Douai', 'Lille Flandres']"
Paris Nord,Valenciennes ,TGV INOUI,7185,09-03-2023,19:40:30,19:40:30,0,,"['Paris Nord', 'Arras', 'Douai', 'Valenciennes']"
Douai,Arras ,TER HDF,843720,09-03-2023,19:48:00,19:48:00,0,,"['Douai', 'Corbehem', 'Brebières Sud', 'Vitry-en-Artois', 'Biache-Saint-Vaast', 'Rœux', 'Arras']"
Saint-Pol-sur-Ternoise,Arras ,TER HDF,36038,09-03-2023,20:40:00,20:40:00,0,,"['Saint-Pol-sur-Ternoise', 'Tincques', 'Aubigny-en-Artois', 'Arras']"
Douai,Arras ,TER HDF,36020,10-03-2023,06:04:00,06:04:00,0,,"['Douai', 'Arras']"
Amiens,Arras ,TER HDF,848857,10-03-2023,06:23:00,06:23:00,0,,"['Amiens', 'Corbie', 'Albert', 'Miraumont', 'Achiet', 'Courcelles-le-Comte', 'Boisleux', 'Arras']"
Amiens,Lille Flandres ,TER HDF,843901,10-03-2023,06:27:30,06:27:30,0,,"['Amiens', 'Albert', 'Achiet', 'Arras', 'Douai', 'Lille Flandres']"
Saint-Pol-sur-Ternoise,Arras ,TER HDF,842318,10-03-2023,06:35:00,06:35:00,0,,"['Saint-Pol-sur-Ternoise', 'Tincques', 'Savy-Berlette', 'Aubigny-en-Artois', 'Frévin-Capelle', 'Marœuil', 'Arras']"
Amiens,Arras ,TER HDF,848859,10-03-2023,07:10:00,07:10:00,0,,"['Amiens', 'Corbie', 'Albert', 'Miraumont', 'Achiet', 'Courcelles-le-Comte', 'Boisleux', 'Arras']"
Amiens,Lille Flandres ,TER HDF,843903,10-03-2023,07:27:30,07:27:30,0,,"['Amiens', 'Albert', 'Achiet', 'Arras', 'Douai', 'Lille Flandres']"
Paris Nord,Boulogne-Ville ,TGV INOUI,7551,10-03-2023,07:41:30,07:41:30,0,,"['Paris Nord', 'Arras', 'Lille Europe', 'Calais - Fréthun', 'Boulogne-Ville']"
Saint-Pol-sur-Ternoise,Arras ,TER HDF,36040,10-03-2023,07:47:00,07:47:00,0,,"['Saint-Pol-sur-Ternoise', 'Tincques', 'Savy-Berlette', 'Aubigny-en-Artois', 'Frévin-Capelle', 'Marœuil', 'Arras']"
Hazebrouck,Arras ,TER HDF,846522,10-03-2023,07:47:00,07:47:00,0,,"['Hazebrouck', 'Steenbecque', 'Thiennes', 'Isbergues', 'Ham-en-Artois', 'Lillers', 'Chocques', 'Fouquereuil', 'Béthune', 'Noeux', 'Mazingarbe', 'Bully - Grenay', 'Liévin', 'Loos-en-Gohelle', 'Lens', 'Avion', 'Vimy', 'Farbus', 'Bailleul-Sir-Berthoult', 'Arras']"
Douai,Arras ,TER HDF,843702,10-03-2023,07:48:00,07:48:00,0,,"['Douai', 'Corbehem', 'Brebières Sud', 'Vitry-en-Artois', 'Biache-Saint-Vaast', 'Rœux', 'Arras']"
Valenciennes,Paris Nord ,TGV INOUI,7106,10-03-2023,07:52:00,07:52:00,0,,"['Valenciennes', 'Douai', 'Arras', 'Paris Nord']"
Dunkerque,Paris Nord ,TGV INOUI,7208,10-03-2023,08:01:00,08:01:00,0,,"['Dunkerque', 'Lille Europe', 'Arras', 'Paris Nord']"
Lille Flandres,Amiens ,TER HDF,843904,10-03-2023,08:30:00,08:30:00,0,,"['Lille Flandres', 'Douai', 'Arras', 'Albert', 'Amiens']"
Paris Nord,Dunkerque ,TGV INOUI,7355,10-03-2023,08:40:30,08:40:30,0,,"['Paris Nord', 'Arras', 'Lens', 'Béthune', 'Hazebrouck', 'Dunkerque']"
Douai,Arras ,TER HDF,843706,10-03-2023,09:48:00,09:48:00,0,,"['Douai', 'Corbehem', 'Brebières Sud', 'Vitry-en-Artois', 'Biache-Saint-Vaast', 'Rœux', 'Arras']"
Boulogne-Ville,Paris Nord ,TGV INOUI,7516,10-03-2023,11:13:00,11:13:00,0,,"['Boulogne-Ville', 'Calais - Fréthun', 'Lille Europe', 'Arras', 'Paris Nord']"
Paris Nord,Dunkerque ,TGV INOUI,7265,10-03-2023,11:41:30,11:41:30,0,,"['Paris Nord', 'Arras', 'Lille Europe', 'Dunkerque']"
Douai,Arras ,TER HDF,843710,10-03-2023,12:48:00,12:48:00,0,,"['Douai', 'Corbehem', 'Brebières Sud', 'Vitry-en-Artois', 'Biache-Saint-Vaast', 'Rœux', 'Arras']"
Amiens,Arras ,TER HDF,36135,10-03-2023,13:14:00,13:14:00,0,,"['Amiens', 'Corbie', 'Albert', 'Miraumont', 'Achiet', 'Courcelles-le-Comte', 'Boisleux', 'Arras']"
Boulogne-Ville,Paris Nord ,TGV INOUI,7520,10-03-2023,13:37:30,13:37:30,0,,"['Boulogne-Ville', 'Calais - Fréthun', 'Lille Europe', 'Douai', 'Arras', 'Paris Nord']"
Étaples - Le Touquet,Arras ,TER HDF,842306,10-03-2023,15:15:30,15:15:30,0,,"['Étaples - Le Touquet', 'Montreuil sur Mer', 'Brimeux', 'Beaurainville', 'Maresquel', 'Aubin-Saint-Vaast', 'Hesdin', 'Auchy-lès-Hesdin', 'Blangy-sur-Ternoise', 'Anvin', 'Saint-Pol-sur-Ternoise', 'Tincques', 'Savy-Berlette', 'Aubigny-en-Artois', 'Frévin-Capelle', 'Marœuil', 'Arras']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8418,09-03-2023,19:09:00,19:09:00,0,,"['Bordeaux Saint-Jean', 'Massy TGV', 'Paris - Montparnasse - Hall 1 & 2']"
Strasbourg,Nantes ,TGV INOUI,5488,09-03-2023,20:03:00,20:03:00,0,,"['Strasbourg', 'Lorraine TGV', 'Meuse TGV', 'Champagne-Ardenne TGV', 'Aéroport Charles de Gaulle 2 TGV', 'Marne-la-Vallée - Chessy', 'Massy TGV', 'Le Mans', 'Angers-Saint-Laud', 'Nantes']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8404,10-03-2023,09:43:00,09:43:00,0,,"['Bordeaux Saint-Jean', 'Massy TGV', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Strasbourg ,TGV INOUI,5482,10-03-2023,10:20:00,10:20:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Massy TGV', 'Marne-la-Vallée - Chessy', 'Aéroport Charles de Gaulle 2 TGV', 'Champagne-Ardenne TGV', 'Lorraine TGV', 'Strasbourg']"
Strasbourg,Nantes ,TGV INOUI,5486,10-03-2023,10:34:00,10:34:00,0,,"['Strasbourg', 'Lorraine TGV', 'Champagne-Ardenne TGV', 'Aéroport Charles de Gaulle 2 TGV', 'Marne-la-Vallée - Chessy', 'Massy TGV', 'Le Mans', 'Angers-Saint-Laud', 'Nantes']"
Lyon Perrache,Nantes ,TGV INOUI,5354,10-03-2023,12:33:00,12:33:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Massy TGV', 'Le Mans', 'Angers-Saint-Laud', 'Nantes']"
Lyon Perrache,Rennes ,TGV INOUI,5382,10-03-2023,13:51:00,13:51:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Massy TGV', 'Le Mans', 'Rennes']"
Paris - Montparnasse - Hall 1 & 2,Tarbes ,TGV INOUI,8574,10-03-2023,14:12:30,14:12:30,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Massy TGV', 'Bordeaux Saint-Jean', 'Dax', 'Orthez', 'Pau', 'Lourdes', 'Tarbes']"
St Pancras International,Paris Nord ,Eurostar,9004,10-03-2023,10:23:00,10:23:00,0,,"['St Pancras International', 'Paris Nord']"
Amsterdam Centraal,Paris Nord ,Thalys,9316,10-03-2023,10:38:00,10:38:00,0,,"['Amsterdam Centraal', 'Schiphol - Airport', 'Rotterdam Centraal', 'Antwerpen-Centraal', 'Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
St Pancras International,Paris Nord ,Eurostar,9008,10-03-2023,11:32:00,11:32:00,0,,"['St Pancras International', 'Paris Nord']"
Bruxelles-Midi - Brussel-Zuid,Paris Nord ,Thalys,9322,10-03-2023,11:35:00,11:35:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
Beauvais - Gare SNCF,Paris Nord ,TER HDF,847426,10-03-2023,11:57:00,11:57:00,0,,"['Beauvais - Gare SNCF', 'Saint-Sulpice - Auteuil', 'Laboissière - Le Déluge', 'Méru', 'Esches', 'Bornel - Belle-Église', 'Chambly', 'Persan - Beaumont', 'Paris Nord']"
Dortmund Hbf,Paris Nord ,Thalys,9424,10-03-2023,12:05:00,12:05:00,0,,"['Dortmund Hbf', 'Essen Hbf', 'Düsseldorf - Hauptbahnhof', 'Köln - Hauptbahnhof', 'Aachen Hauptbahnhof', 'Liège-Guillemins', 'Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
Boulogne-Ville,Paris Nord ,TGV INOUI,7516,10-03-2023,12:08:00,12:08:00,0,,"['Boulogne-Ville', 'Calais - Fréthun', 'Lille Europe', 'Arras', 'Paris Nord']"
St Pancras International,Paris Nord ,Eurostar,9014,10-03-2023,12:23:00,12:23:00,0,,"['St Pancras International', 'Paris Nord']"
Compiègne,Paris Nord ,TER HDF,847818,10-03-2023,13:20:00,13:20:00,0,,"['Compiègne', 'Le Meux - La-Croix-Saint-Ouen', 'Longueil-Sainte-Marie', 'Chevrières', 'Pont-Sainte-Maxence', 'Rieux - Angicourt', 'Villers-Saint-Paul', 'Creil', 'Chantilly - Gouvieux', 'Orry-la-Ville - Coye', 'Paris Nord']"
St Pancras International,Paris Nord ,Eurostar,9018,10-03-2023,13:50:00,13:50:00,0,,"['St Pancras International', 'Paris Nord']"
Beauvais - Gare SNCF,Paris Nord ,TER HDF,847430,10-03-2023,13:57:00,13:57:00,0,,"['Beauvais - Gare SNCF', 'Saint-Sulpice - Auteuil', 'Laboissière - Le Déluge', 'Méru', 'Esches', 'Bornel - Belle-Église', 'Chambly', 'Persan - Beaumont', 'Paris Nord']"
Laon,Paris Nord ,TER HDF,849928,10-03-2023,14:13:00,14:13:00,0,,"['Laon', 'Anizy - Pinon', 'Soissons', 'Villers-Cotterêts', 'Crépy-en-Valois', 'Dammartin - Juilly - Saint-Mard', 'Paris Nord']"
Lille Flandres,Paris Nord ,TGV INOUI,7038,10-03-2023,14:14:00,14:14:00,0,,"['Lille Flandres', 'Paris Nord']"
Boulogne-Ville,Paris Nord ,TGV INOUI,7520,10-03-2023,14:32:00,14:32:00,0,,"['Boulogne-Ville', 'Calais - Fréthun', 'Lille Europe', 'Douai', 'Arras', 'Paris Nord']"
Amsterdam Centraal,Paris Nord ,Thalys,9340,10-03-2023,14:44:00,14:44:00,0,,"['Amsterdam Centraal', 'Schiphol - Airport', 'Rotterdam Centraal', 'Antwerpen-Centraal', 'Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
Le Havre,Paris Saint-Lazare ,TER,3106,10-03-2023,10:23:00,10:23:00,0,,"['Le Havre', 'Bréauté - Beuzeville', 'Yvetot', 'Rouen Rive Droite', 'Paris Saint-Lazare']"
Rouen Rive Droite,Paris Saint-Lazare ,TER,13114,10-03-2023,10:48:00,10:48:00,0,,"['Rouen Rive Droite', 'Oissel', 'Val-de-Reuil', 'Gaillon - Aubevoye', 'Vernon - Giverny', 'Mantes-la-Jolie', 'Paris Saint-Lazare']"
Le Havre,Paris Saint-Lazare ,TER,3110,10-03-2023,12:23:00,12:23:00,0,,"['Le Havre', 'Bréauté - Beuzeville', 'Yvetot', 'Rouen Rive Droite', 'Paris Saint-Lazare']"
Trouville - Deauville,Paris Saint-Lazare ,TER,3374,10-03-2023,12:56:00,12:31:00,25,Panne d'un passage à niveau,"['Trouville - Deauville', 'Pont-L\'Évêque"", \'links\': [], \'coord\': {\'lat\': \'49.287044\', \'lon\': \'0.191974\'}, \'label\': ""Pont-L\'Évêque (Pont-l\'Évêque)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87444349:Train\'', 'Lisieux', 'Bernay', 'Évreux Embranchement', 'Paris Saint-Lazare']"
Cherbourg,Paris Saint-Lazare ,TER,3306,10-03-2023,14:02:00,14:02:00,0,,"['Cherbourg', 'Valognes', 'Carentan', 'Lison', 'Bayeux', 'Caen', 'Paris Saint-Lazare']"
Le Havre,Paris Saint-Lazare ,TER,3114,10-03-2023,14:23:00,14:23:00,0,,"['Le Havre', 'Bréauté - Beuzeville', 'Yvetot', 'Rouen Rive Droite', 'Paris Saint-Lazare']"
Rouen Rive Droite,Paris Saint-Lazare ,TER,13122,10-03-2023,14:48:00,14:48:00,0,,"['Rouen Rive Droite', 'Oissel', 'Val-de-Reuil', 'Gaillon - Aubevoye', 'Vernon - Giverny', 'Mantes-la-Jolie', 'Paris Saint-Lazare']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6610,10-03-2023,11:02:00,11:02:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lausanne,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9264,10-03-2023,11:17:00,11:12:00,5,Retard non expliqué,"['Lausanne', 'Vallorbe', 'Frasne', 'Mouchard', 'Dole-Ville', 'Dijon Ville', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7802,10-03-2023,11:36:00,11:36:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Genève - Cornavin - CFF,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9766,10-03-2023,11:48:00,11:48:00,0,,"['Genève - Cornavin - CFF', 'Bellegarde-sur-Valserine Gare', 'Nurieux', 'Bourg-en-Bresse', 'Paris - Gare de Lyon - Hall 1 & 2']"
Zürich - Hauptbahnhof,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9206,10-03-2023,11:49:00,11:44:00,5,Retard non expliqué,"['Zürich - Hauptbahnhof', 'Bâle - SBB', 'Mulhouse-Ville', 'Belfort - Montbéliard TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Nice,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7858,10-03-2023,11:52:00,11:52:00,0,,"['Nice', 'Antibes', 'Cannes', 'Les Arcs - Draguignan', 'Toulon', 'Aix-en-Provence TGV', 'Lyon Saint-Exupéry TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6612,10-03-2023,12:13:00,12:13:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Montpellier Saint-Roch,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6030,10-03-2023,12:18:00,12:18:00,0,,"['Montpellier Saint-Roch', 'Nîmes Centre', 'Valence TGV Rhône-Alpes Sud', 'Paris - Gare de Lyon - Hall 1 & 2']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6112,10-03-2023,12:28:00,12:23:00,5,Retard non expliqué,"['Marseille - Saint-Charles', 'Aix-en-Provence TGV', 'Avignon TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Grenoble,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6908,10-03-2023,12:49:00,12:49:00,0,,"['Grenoble', 'Lyon Saint-Exupéry TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Perpignan,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6202,10-03-2023,13:03:00,12:18:00,45,Panne de signalisation,"['Perpignan', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Montpellier Saint-Roch', 'Nîmes Centre', 'Valence TGV Rhône-Alpes Sud', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6614,10-03-2023,13:04:00,13:04:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Annecy,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6964,10-03-2023,13:16:00,13:16:00,0,,"['Annecy', 'Aix-les-Bains - Le Revard', 'Chambéry - Challes-les-Eaux', 'Mâcon Loché TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Milano - Porta Garibaldi,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,9240,10-03-2023,13:16:00,13:16:00,0,,"['Milano - Porta Garibaldi', 'Torino Porta Susa', 'Oulx - Cesana Clav Sestriere', 'Modane', 'Saint-Jean-de-Maurienne - Arvan', 'Chambéry - Challes-les-Eaux', 'Mâcon Loché TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Part Dieu,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6616,10-03-2023,13:34:00,13:34:00,0,,"['Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Zürich - Hauptbahnhof,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9210,10-03-2023,13:41:30,13:41:30,0,,"['Zürich - Hauptbahnhof', 'Bâle - SBB', 'Mulhouse-Ville', 'Dijon Ville', 'Paris - Gare de Lyon - Hall 1 & 2']"
Laroche - Migennes,Paris - Gare de Lyon - Hall 1 & 2 ,TER,891016,10-03-2023,14:13:00,14:13:00,0,,"['Laroche - Migennes', 'Joigny', 'Saint-Julien-du-Sault', 'Villeneuve-sur-Yonne', 'Sens', 'Pont-sur-Yonne', 'Champigny-sur-Yonne', 'Villeneuve-la-Guyard', 'Montereau', 'Saint-Mammès', 'Moret - Veneux-les-Sablons', 'Fontainebleau - Avon', 'Bois-le-Roi', 'Melun', 'Paris - Gare de Lyon - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862418,10-03-2023,10:50:00,10:50:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Toulouse Matabiau,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8502,10-03-2023,10:52:30,10:52:30,0,,"['Toulouse Matabiau', 'Montauban Ville Bourbon', 'Agen', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,8706,10-03-2023,11:19:00,11:19:00,0,,"['Quimper', 'Lorient', 'Auray', 'Vannes', 'Rennes', 'Laval', 'Paris - Montparnasse - Hall 1 & 2']"
Brest,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8606,10-03-2023,11:19:00,11:19:00,0,,"['Brest', 'Morlaix', 'Guingamp', 'Saint-Brieuc', 'Rennes', 'Laval', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,7652,10-03-2023,11:33:00,11:33:00,0,,"['Bordeaux Saint-Jean', 'Angoulême', 'Poitiers', 'Paris - Montparnasse - Hall 1 & 2']"
Hendaye,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8530,10-03-2023,11:52:30,11:52:30,0,,"['Hendaye', 'Saint-Jean-de-Luz - Ciboure', 'Biarritz', 'Bayonne', 'Dax', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Tarbes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8560,10-03-2023,11:52:30,11:52:30,0,,"['Tarbes', 'Lourdes', 'Pau', 'Orthez', 'Dax', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Granville,Paris - Montparnasse - Hall 1 & 2 ,TER,3420,10-03-2023,12:06:00,12:06:00,0,,"['Granville', 'Villedieu-les-Poêles', 'Vire', 'Flers', 'Argentan', 'Surdon', 'L\'Aigle"", \'links\': [], \'coord\': {\'lat\': \'48.766229\', \'lon\': \'0.620014\'}, \'label\': ""L\'Aigle (L\'Aigle)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87444638:Train\'', 'Verneuil-sur-Avre', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,7622,10-03-2023,12:57:00,12:57:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8868,10-03-2023,13:25:00,13:25:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
