Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Ambérieu-en-Bugey,Saint-Étienne Châteaucreux ,TER,886710,10-03-2023,08:48:00,08:48:00,0,,"['Ambérieu-en-Bugey', 'Meximieux - Pérouges', 'La Valbonne', 'Montluel', 'Beynost', 'Saint-Maurice-de-Beynost', 'Miribel', 'Crépieux la Pape', 'Lyon Part Dieu', 'Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6603,10-03-2023,08:57:00,08:57:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Lyon Part Dieu', 'Lyon Perrache']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6610,10-03-2023,08:58:00,08:58:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Saint-Étienne Châteaucreux,Lyon Part Dieu ,TER,886863,10-03-2023,09:06:00,09:06:00,0,,"['Saint-Étienne Châteaucreux', 'Saint-Chamond', 'Rive-de-Gier', 'Givors Ville', 'Lyon Part Dieu']"
Chambéry - Challes-les-Eaux,Lyon Part Dieu ,TER,18542,10-03-2023,09:10:00,09:10:00,0,,"['Chambéry - Challes-les-Eaux', 'Lépin-le-Lac - La Bauche', 'Pont-de-Beauvoisin', 'La Tour-du-Pin', 'Bourgoin-Jallieu', 'Lyon Part Dieu']"
Marseille - Saint-Charles,Le Havre ,TGV INOUI,5376,10-03-2023,09:20:00,09:20:00,0,,"['Marseille - Saint-Charles', 'Avignon TGV', 'Valence TGV Rhône-Alpes Sud', 'Lyon Part Dieu', 'Massy - Palaiseau', 'Versailles Chantiers', 'Mantes-la-Jolie', 'Rouen Rive Droite', 'Le Havre']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7802,10-03-2023,09:32:00,09:32:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Grenoble,Lyon Part Dieu ,TER,17612,10-03-2023,09:44:00,09:44:00,0,,"['Grenoble', 'Voiron', 'La Tour-du-Pin', 'Bourgoin-Jallieu', 'La Verpillière', 'Lyon Part Dieu']"
Ambérieu-en-Bugey,Saint-Étienne Châteaucreux ,TER,886714,10-03-2023,09:48:00,09:48:00,0,,"['Ambérieu-en-Bugey', 'Meximieux - Pérouges', 'La Valbonne', 'Montluel', 'Beynost', 'Saint-Maurice-de-Beynost', 'Miribel', 'Crépieux la Pape', 'Lyon Part Dieu', 'Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Paris - Gare de Lyon - Hall 1 & 2,Saint-Étienne Châteaucreux ,TGV INOUI,6681,10-03-2023,09:56:00,09:56:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Lyon Part Dieu', 'Saint-Étienne Châteaucreux']"
